No,CATEGORY,shortDesc,description,finish,featured,fallback_image,SKU,Name,Dimensions,Weight,Stock,ImageUrl
1,Furniture,,,Semi-Gloss Polish,FALSE,,SBTP.449.24,GIANT DINING TABLE ROUND,230 Cm + 137 Cm + 7 Cm,357,0,https://drive.google.com/uc?export=view&id=1IIvZSS0N9rR2TApyMJsUu4FiMIh2Cx9m
2,Furniture,,,Semi-Gloss Polish,FALSE,,461.24,GIANT DINING TABLE ROUND,236 Cm + 138 Cm + 6 Cm,350,0,https://drive.google.com/uc?export=view&id=1ZT4If37SH50E0gD4jfEy3OmQfNnmaGyH
3,Living Room,,,Semi-Gloss Polish,FALSE,,SBTP.218.24,ROUND COFFEE TABLE,96 Cm + 67 Cm + 6 Cm,70,1,https://drive.google.com/uc?export=view&id=1RVHa0LiaiVdtVKORCum9cco35WFcRNnv
4,Furniture,,,Semi-Gloss Polish,FALSE,,BTP.196.23,STOOL TOP POLISH,33 Cm + 28 Cm + 50 Cm,83,0,https://drive.google.com/uc?export=view&id=1Cg5S9ZijUGIYLz6_XUMWzm-dBV65GtiB
5,Furniture,,,Semi-Gloss Polish,FALSE,,SBTP.220.24,ROUND COFFEE TABLE,98 Cm + 70 Cm + 6 Cm,69,0,https://drive.google.com/uc?export=view&id=1IQTIrfAq5-pPdSuuduqf2cz6X4oH8rLE
6,Furniture,,,Semi-Gloss Polish,FALSE,,BTP.259.24,STOOL TOP POLISH,36 Cm + 32 Cm + 45 Cm,109,0,https://drive.google.com/uc?export=view&id=1bJN-p5-kRAzbedbyaMtcMfNsw9QT2ZaB
7,Furniture,,,Semi-Gloss Polish,FALSE,,BFP.038.24,STOOL FULL POLISH,40 Cm + 33 Cm + 45 Cm,76,0,https://drive.google.com/uc?export=view&id=10iWqg5zW5UY5DH6WGj4hZwToa6RLN0-l
8,Furniture,,,Semi-Gloss Polish,FALSE,,BFP.990.24,STOOL FULL POLISH,39 Cm + 25 Cm + 45 Cm,85,0,https://drive.google.com/uc?export=view&id=1HzWAkZSEq0I_A_RXi9cNNDbiJU8nlGoV
9,Seater,,,Semi-Gloss Polish,FALSE,,BFP.1006.24,STOOL FULL POLISH,38 Cm + 24 Cm + 40 Cm,61,1,https://drive.google.com/uc?export=view&id=1PVUUbR1qWInLLVEr8tSereFbhpPJg37m
10,Furniture,,,Semi-Gloss Polish,FALSE,,SBTP.212.24,ROUND COFFEE TABLE,140 Cm + 113 Cm + 6.5 Cm,183,0,https://drive.google.com/uc?export=view&id=1Kn61R8BsFqUeUFdypcNbH5GPqUntobFM
11,Seater,,,Semi-Gloss Polish,FALSE,,BFP.690.24,STOOL FULL POLISH,40 Cm + 23 Cm + 40 Cm,59,1,https://drive.google.com/uc?export=view&id=1JhZiF12Co08vYA8KjGAxIR9q1MeLbUGk
12,Furniture,,,Semi-Gloss Polish,FALSE,,BFP.1096.24,STOOL FULL POLISH,34 Cm + 23 Cm + 40 Cm,46,0,https://drive.google.com/uc?export=view&id=1t6TLgSGPQJa3S3ziEhP8mHZ9DzP8MACo
